rep_date,wmo,lat,lon,VPD,WS,HDW
2026-06-02 21:00:00,53,58.847,-125.231,18.143144703503832,4.8,87.08709457681839
2026-06-03 00:00:00,53,58.847,-125.231,21.63789356710513,4.2,90.87915298184156
2026-06-01 12:00:00,53,58.847,-125.231,4.6397351438345495,2.6,12.06331137396983
2026-06-01 15:00:00,53,58.847,-125.231,7.867442282700477,0.8,6.293953826160382
2026-06-01 18:00:00,53,58.847,-125.231,14.43408305301781,3.2,46.18906576965699
2026-06-01 21:00:00,53,58.847,-125.231,17.013439461599226,3.2,54.443006277117526
2026-06-02 00:00:00,53,58.847,-125.231,17.9958246170732,4.2,75.58246339170745
2026-06-02 03:00:00,53,58.847,-125.231,16.488213625079382,4.1,67.60167586282546
2026-06-02 06:00:00,53,58.847,-125.231,10.540186452214765,2.7,28.45850342097987
2026-06-02 09:00:00,53,58.847,-125.231,7.2134110271519365,2.7,19.47620977331023
2026-06-02 12:00:00,53,58.847,-125.231,5.286367757292473,2.4,12.687282617501936
2026-06-02 15:00:00,53,58.847,-125.231,10.748498291527698,1.0,10.748498291527698
2026-06-02 18:00:00,53,58.847,-125.231,15.455116580847676,4.3,66.45700129764501
2026-06-02 21:00:00,100208,51.905,-124.598,23.83146116764314,5.8,138.2224747723302
2026-06-03 00:00:00,100208,51.905,-124.598,24.118837429169425,5.5,132.65360586043184
2026-06-01 12:00:00,100208,51.905,-124.598,6.697893769145967,2.6,17.414523799779516
2026-06-01 15:00:00,100208,51.905,-124.598,9.936372873245032,1.0,9.936372873245032
2026-06-01 18:00:00,100208,51.905,-124.598,16.179938869642374,3.8,61.48376770464102
2026-06-01 21:00:00,100208,51.905,-124.598,20.234010067149274,4.7,95.0998473156016
2026-06-02 00:00:00,100208,51.905,-124.598,21.506847772630078,7.0,150.54793440841055
2026-06-02 03:00:00,100208,51.905,-124.598,18.91034087920317,9.4,177.7572042645098
2026-06-02 06:00:00,100208,51.905,-124.598,12.710732338625778,6.1,77.53546726561724
2026-06-02 09:00:00,100208,51.905,-124.598,9.39464321347986,0.8,7.515714570783889
2026-06-02 12:00:00,100208,51.905,-124.598,8.629594277620969,2.9,25.02582340510081
2026-06-02 15:00:00,100208,51.905,-124.598,10.688020140900916,1.3,13.894426183171191
2026-06-02 18:00:00,100208,51.905,-124.598,19.622636025065653,3.8,74.56601689524948
2026-06-02 21:00:00,100233,52.251,-126.028,17.03369165349089,0.8,13.626953322792714
2026-06-03 00:00:00,100233,52.251,-126.028,17.03369165349089,1.6,27.253906645585428
2026-06-01 12:00:00,100233,52.251,-126.028,5.358849458879873,1.3,6.966504296543835
2026-06-01 15:00:00,100233,52.251,-126.028,6.512785410399447,0.8,5.210228328319558
2026-06-01 18:00:00,100233,52.251,-126.028,11.105309247375224,0.2,2.221061849475045
2026-06-01 21:00:00,100233,52.251,-126.028,13.92205938866653,0.4,5.568823755466612
2026-06-02 00:00:00,100233,52.251,-126.028,14.990619578922276,1.1,16.489681536814505
2026-06-02 03:00:00,100233,52.251,-126.028,13.413206682438313,1.7,22.80245136014513
2026-06-02 06:00:00,100233,52.251,-126.028,10.35084714957759,2.0,20.70169429915518
2026-06-02 09:00:00,100233,52.251,-126.028,8.975607140139807,1.6,14.360971424223692
2026-06-02 12:00:00,100233,52.251,-126.028,8.350261792604197,1.6,13.360418868166716
2026-06-02 15:00:00,100233,52.251,-126.028,10.153053380263863,0.9,9.137748042237478
2026-06-02 18:00:00,100233,52.251,-126.028,14.00848874835696,0.2,2.8016977496713924
2026-06-02 21:00:00,100361,51.997,-118.103,10.83472084046535,0.9,9.751248756418814
2026-06-03 00:00:00,100361,51.997,-118.103,11.108332346587924,1.1,12.219165581246717
2026-06-01 12:00:00,100361,51.997,-118.103,6.384049719640204,2.0,12.768099439280409
2026-06-01 15:00:00,100361,51.997,-118.103,8.975607140139807,1.6,14.360971424223692
2026-06-01 18:00:00,100361,51.997,-118.103,10.619825474887666,1.6,16.991720759820264
2026-06-01 21:00:00,100361,51.997,-118.103,9.553240482810928,1.8,17.19583286905967
2026-06-02 00:00:00,100361,51.997,-118.103,9.43271471444323,2.0,18.86542942888646
2026-06-02 03:00:00,100361,51.997,-118.103,8.625705957981326,1.9,16.38884132016452
2026-06-02 06:00:00,100361,51.997,-118.103,7.57801871382647,1.3,9.851424327974412
2026-06-02 09:00:00,100361,51.997,-118.103,8.629594277620969,1.1,9.492553705383067
2026-06-02 12:00:00,100361,51.997,-118.103,8.2953592051681,1.3,10.78396696671853
